Year,EventName,DriverNumber,Abbreviation,TeamName,GridPos,QualiPos,FinishPos,DidFinish,Top3,Top5,Top10,EventDate
2022,Emilia Romagna Grand Prix,24,ZHO,Alfa Romeo,0.0,14,15.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,6,LAT,Williams,19.0,18,16.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,47,MSC,Haas F1 Team,10.0,12,17.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,3,RIC,McLaren,6.0,6,18.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,14,ALO,Alpine,9.0,5,19.0,0,0,0,0,2022-04-24
2022,Emilia Romagna Grand Prix,55,SAI,Ferrari,4.0,10,20.0,0,0,0,0,2022-04-24
2022,Miami Grand Prix,1,VER,Red Bull Racing,3.0,3,1.0,1,1,1,1,2022-05-08
2022,Miami Grand Prix,16,LEC,Ferrari,1.0,1,2.0,1,1,1,1,2022-05-08
2022,Miami Grand Prix,55,SAI,Ferrari,2.0,2,3.0,1,1,1,1,2022-05-08
2022,Miami Grand Prix,11,PER,Red Bull Racing,4.0,4,4.0,1,0,1,1,2022-05-08
2022,Miami Grand Prix,63,RUS,Mercedes,12.0,12,5.0,1,0,1,1,2022-05-08
2022,Miami Grand Prix,44,HAM,Mercedes,6.0,6,6.0,1,0,0,1,2022-05-08
2022,Miami Grand Prix,77,BOT,Alfa Romeo,5.0,5,7.0,1,0,0,1,2022-05-08
2022,Miami Grand Prix,31,OCO,Alpine,20.0,20,8.0,1,0,0,1,2022-05-08
2022,Miami Grand Prix,23,ALB,Williams,18.0,18,9.0,1,0,0,1,2022-05-08
2022,Miami Grand Prix,18,STR,Aston Martin,0.0,10,10.0,1,0,0,1,2022-05-08
2022,Miami Grand Prix,14,ALO,Alpine,11.0,11,11.0,1,0,0,0,2022-05-08
2022,Miami Grand Prix,22,TSU,AlphaTauri,9.0,9,12.0,1,0,0,0,2022-05-08
2022,Miami Grand Prix,3,RIC,McLaren,14.0,14,13.0,1,0,0,0,2022-05-08
2022,Miami Grand Prix,6,LAT,Williams,19.0,19,14.0,1,0,0,0,2022-05-08
2022,Miami Grand Prix,47,MSC,Haas F1 Team,15.0,15,15.0,1,0,0,0,2022-05-08
2022,Miami Grand Prix,20,MAG,Haas F1 Team,16.0,16,16.0,0,0,0,0,2022-05-08
2022,Miami Grand Prix,5,VET,Aston Martin,0.0,13,17.0,0,0,0,0,2022-05-08
2022,Miami Grand Prix,10,GAS,AlphaTauri,7.0,7,18.0,0,0,0,0,2022-05-08
2022,Miami Grand Prix,4,NOR,McLaren,8.0,8,19.0,0,0,0,0,2022-05-08
2022,Miami Grand Prix,24,ZHO,Alfa Romeo,17.0,17,20.0,0,0,0,0,2022-05-08
2022,Spanish Grand Prix,1,VER,Red Bull Racing,2.0,2,1.0,1,1,1,1,2022-05-22
2022,Spanish Grand Prix,11,PER,Red Bull Racing,5.0,5,2.0,1,1,1,1,2022-05-22
2022,Spanish Grand Prix,63,RUS,Mercedes,4.0,4,3.0,1,1,1,1,2022-05-22
2022,Spanish Grand Prix,55,SAI,Ferrari,3.0,3,4.0,1,0,1,1,2022-05-22
2022,Spanish Grand Prix,44,HAM,Mercedes,6.0,6,5.0,1,0,1,1,2022-05-22
2022,Spanish Grand Prix,77,BOT,Alfa Romeo,7.0,7,6.0,1,0,0,1,2022-05-22
2022,Spanish Grand Prix,31,OCO,Alpine,12.0,12,7.0,1,0,0,1,2022-05-22
2022,Spanish Grand Prix,4,NOR,McLaren,11.0,11,8.0,1,0,0,1,2022-05-22
2022,Spanish Grand Prix,14,ALO,Alpine,20.0,17,9.0,0,0,0,1,2022-05-22
2022,Spanish Grand Prix,22,TSU,AlphaTauri,13.0,13,10.0,0,0,0,1,2022-05-22
2022,Spanish Grand Prix,5,VET,Aston Martin,16.0,16,11.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,3,RIC,McLaren,9.0,9,12.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,10,GAS,AlphaTauri,14.0,14,13.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,47,MSC,Haas F1 Team,10.0,10,14.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,18,STR,Aston Martin,17.0,18,15.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,6,LAT,Williams,19.0,20,16.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,20,MAG,Haas F1 Team,8.0,8,17.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,23,ALB,Williams,18.0,19,18.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,24,ZHO,Alfa Romeo,15.0,15,19.0,0,0,0,0,2022-05-22
2022,Spanish Grand Prix,16,LEC,Ferrari,1.0,1,20.0,0,0,0,0,2022-05-22
2022,Monaco Grand Prix,11,PER,Red Bull Racing,3.0,3,1.0,1,1,1,1,2022-05-29
2022,Monaco Grand Prix,55,SAI,Ferrari,2.0,2,2.0,1,1,1,1,2022-05-29
2022,Monaco Grand Prix,1,VER,Red Bull Racing,4.0,4,3.0,1,1,1,1,2022-05-29
2022,Monaco Grand Prix,16,LEC,Ferrari,1.0,1,4.0,1,0,1,1,2022-05-29
2022,Monaco Grand Prix,63,RUS,Mercedes,6.0,6,5.0,1,0,1,1,2022-05-29
2022,Monaco Grand Prix,4,NOR,McLaren,5.0,5,6.0,1,0,0,1,2022-05-29
2022,Monaco Grand Prix,14,ALO,Alpine,7.0,7,7.0,1,0,0,1,2022-05-29
2022,Monaco Grand Prix,44,HAM,Mercedes,8.0,8,8.0,1,0,0,1,2022-05-29
2022,Monaco Grand Prix,77,BOT,Alfa Romeo,12.0,12,9.0,1,0,0,1,2022-05-29
2022,Monaco Grand Prix,5,VET,Aston Martin,9.0,9,10.0,1,0,0,1,2022-05-29
2022,Monaco Grand Prix,10,GAS,AlphaTauri,17.0,17,11.0,1,0,0,0,2022-05-29
2022,Monaco Grand Prix,31,OCO,Alpine,10.0,10,12.0,1,0,0,0,2022-05-29
2022,Monaco Grand Prix,3,RIC,McLaren,14.0,14,13.0,1,0,0,0,2022-05-29
2022,Monaco Grand Prix,18,STR,Aston Martin,18.0,18,14.0,1,0,0,0,2022-05-29
2022,Monaco Grand Prix,6,LAT,Williams,19.0,19,15.0,0,0,0,0,2022-05-29
2022,Monaco Grand Prix,24,ZHO,Alfa Romeo,20.0,20,16.0,0,0,0,0,2022-05-29
2022,Monaco Grand Prix,22,TSU,AlphaTauri,11.0,11,17.0,0,0,0,0,2022-05-29
2022,Monaco Grand Prix,23,ALB,Williams,16.0,16,18.0,0,0,0,0,2022-05-29
2022,Monaco Grand Prix,47,MSC,Haas F1 Team,15.0,15,19.0,0,0,0,0,2022-05-29
2022,Monaco Grand Prix,20,MAG,Haas F1 Team,13.0,13,20.0,0,0,0,0,2022-05-29
2022,Azerbaijan Grand Prix,1,VER,Red Bull Racing,3.0,3,1.0,1,1,1,1,2022-06-12
2022,Azerbaijan Grand Prix,11,PER,Red Bull Racing,2.0,2,2.0,1,1,1,1,2022-06-12
2022,Azerbaijan Grand Prix,63,RUS,Mercedes,5.0,5,3.0,1,1,1,1,2022-06-12
2022,Azerbaijan Grand Prix,44,HAM,Mercedes,7.0,7,4.0,1,0,1,1,2022-06-12
2022,Azerbaijan Grand Prix,10,GAS,AlphaTauri,6.0,6,5.0,1,0,1,1,2022-06-12
2022,Azerbaijan Grand Prix,5,VET,Aston Martin,9.0,9,6.0,1,0,0,1,2022-06-12
2022,Azerbaijan Grand Prix,14,ALO,Alpine,10.0,10,7.0,1,0,0,1,2022-06-12
2022,Azerbaijan Grand Prix,3,RIC,McLaren,12.0,12,8.0,1,0,0,1,2022-06-12
2022,Azerbaijan Grand Prix,4,NOR,McLaren,11.0,11,9.0,1,0,0,1,2022-06-12
2022,Azerbaijan Grand Prix,31,OCO,Alpine,13.0,13,10.0,1,0,0,1,2022-06-12
2022,Azerbaijan Grand Prix,77,BOT,Alfa Romeo,15.0,15,11.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,23,ALB,Williams,17.0,17,12.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,22,TSU,AlphaTauri,8.0,8,13.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,47,MSC,Haas F1 Team,20.0,20,14.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,6,LAT,Williams,18.0,18,15.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,18,STR,Aston Martin,19.0,19,16.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,20,MAG,Haas F1 Team,16.0,16,17.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,24,ZHO,Alfa Romeo,14.0,14,18.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,16,LEC,Ferrari,1.0,1,19.0,0,0,0,0,2022-06-12
2022,Azerbaijan Grand Prix,55,SAI,Ferrari,4.0,4,20.0,0,0,0,0,2022-06-12
2022,Canadian Grand Prix,1,VER,Red Bull Racing,1.0,1,1.0,1,1,1,1,2022-06-19
2022,Canadian Grand Prix,55,SAI,Ferrari,3.0,3,2.0,1,1,1,1,2022-06-19
2022,Canadian Grand Prix,44,HAM,Mercedes,4.0,4,3.0,1,1,1,1,2022-06-19
2022,Canadian Grand Prix,63,RUS,Mercedes,8.0,8,4.0,1,0,1,1,2022-06-19
2022,Canadian Grand Prix,16,LEC,Ferrari,19.0,15,5.0,1,0,1,1,2022-06-19
2022,Canadian Grand Prix,31,OCO,Alpine,7.0,7,6.0,1,0,0,1,2022-06-19
2022,Canadian Grand Prix,77,BOT,Alfa Romeo,11.0,11,7.0,1,0,0,1,2022-06-19
2022,Canadian Grand Prix,24,ZHO,Alfa Romeo,10.0,10,8.0,1,0,0,1,2022-06-19
2022,Canadian Grand Prix,14,ALO,Alpine,2.0,2,9.0,1,0,0,1,2022-06-19
2022,Canadian Grand Prix,18,STR,Aston Martin,17.0,18,10.0,1,0,0,1,2022-06-19
2022,Canadian Grand Prix,3,RIC,McLaren,9.0,9,11.0,1,0,0,0,2022-06-19
2022,Canadian Grand Prix,5,VET,Aston Martin,16.0,17,12.0,1,0,0,0,2022-06-19
2022,Canadian Grand Prix,23,ALB,Williams,12.0,12,13.0,1,0,0,0,2022-06-19
2022,Canadian Grand Prix,10,GAS,AlphaTauri,15.0,16,14.0,1,0,0,0,2022-06-19
2022,Canadian Grand Prix,4,NOR,McLaren,14.0,14,15.0,1,0,0,0,2022-06-19
2022,Canadian Grand Prix,6,LAT,Williams,18.0,19,16.0,1,0,0,0,2022-06-19
2022,Canadian Grand Prix,20,MAG,Haas F1 Team,5.0,5,17.0,1,0,0,0,2022-06-19
2022,Canadian Grand Prix,22,TSU,AlphaTauri,20.0,20,18.0,0,0,0,0,2022-06-19
2022,Canadian Grand Prix,47,MSC,Haas F1 Team,6.0,6,19.0,0,0,0,0,2022-06-19
2022,Canadian Grand Prix,11,PER,Red Bull Racing,13.0,13,20.0,0,0,0,0,2022-06-19
2022,British Grand Prix,55,SAI,Ferrari,1.0,1,1.0,1,1,1,1,2022-07-03
2022,British Grand Prix,11,PER,Red Bull Racing,4.0,4,2.0,1,1,1,1,2022-07-03
2022,British Grand Prix,44,HAM,Mercedes,5.0,5,3.0,1,1,1,1,2022-07-03
2022,British Grand Prix,16,LEC,Ferrari,3.0,3,4.0,1,0,1,1,2022-07-03
2022,British Grand Prix,14,ALO,Alpine,7.0,7,5.0,1,0,1,1,2022-07-03
