race_id,season,location,driver_id,driver_code,team,resultposition,gridposition,avg_lap,median_lap,std_lap,best_lap,pit_count,avg_pit_loss,tyre_mix,avg_stint_length,nolaps,tracklength
4,2014,Shanghai,6,VER,ToroRosso,12,9,106.13775471698114,105.307,3.914546299016117,102.896,2,24.268,2,18.0,54,5451.0
4,2014,Shanghai,7,HUL,ForceIndia,6,8,104.86357407407405,104.169,3.6979248673544163,102.624,2,23.101,2,18.333333333333332,54,5451.0
4,2014,Shanghai,8,KVY,ToroRosso,10,13,105.87149056603774,105.229,3.920715484265994,103.337,2,23.5745,2,18.0,54,5451.0
4,2014,Shanghai,9,MAS,Williams,15,6,106.55911320754713,104.782,10.444563754671568,102.379,2,51.0535,2,18.0,54,5451.0
4,2014,Shanghai,10,BUT,McLaren,11,12,106.04260377358491,105.373,3.6414769158195988,103.375,2,22.478,2,18.0,54,5451.0
4,2014,Shanghai,11,RAI,Ferrari,8,11,105.27172222222224,104.431,3.9836860640909815,102.3,2,23.1425,2,18.333333333333332,54,5451.0
4,2014,Shanghai,12,VET,RedBull,5,3,104.74288888888888,103.914,3.48884990871413,102.169,2,22.408,2,18.333333333333332,54,5451.0
4,2014,Shanghai,13,SUT,Sauber,22,14,120.58040000000001,119.921,2.4122618638945448,118.376,0,0.0,1,6.0,54,5451.0
4,2014,Shanghai,14,KOB,Caterham,18,18,107.47054716981131,106.481,5.107656991698602,103.323,3,25.002333333333336,2,13.5,54,5451.0
4,2014,Shanghai,15,BOT,Williams,7,7,104.88953703703703,104.14699999999999,3.997789817277877,102.66,2,24.2095,2,18.333333333333332,54,5451.0
4,2014,Shanghai,16,PER,ForceIndia,9,16,105.38861111111112,104.502,4.090243450874457,102.228,2,23.275,2,18.333333333333332,54,5451.0
4,2014,Shanghai,17,CHI,Marussia,19,21,108.09025,106.8155,4.704808349225415,102.875,3,23.848333333333333,2,13.25,54,5451.0
4,2014,Shanghai,18,BIA,Marussia,17,19,107.44741509433962,106.222,4.6236204280676745,104.825,2,24.552,2,18.0,54,5451.0
4,2014,Shanghai,19,ERI,Caterham,20,20,108.38830769230769,107.202,5.070970037296154,103.62,3,23.792,2,13.25,54,5451.0
4,2014,Shanghai,20,GUT,Sauber,16,17,106.68275471698112,105.47,4.630159068149988,102.257,3,22.99133333333333,2,13.5,54,5451.0
4,2014,Shanghai,21,MAL,LotusF1,14,22,106.40567924528301,105.398,4.148086499420708,103.067,2,23.516,2,18.0,54,5451.0
4,2014,Shanghai,22,GRO,LotusF1,21,10,107.89178571428572,105.614,7.833112107311771,104.366,1,23.213,2,14.5,54,5451.0
5,2014,Catalunya,1,HAM,Mercedes,1,1,91.89628787878786,91.4525,3.506181046556985,89.483,2,23.2705,2,22.333333333333332,66,4655.0
5,2014,Catalunya,2,RIC,RedBull,3,3,92.63892424242424,92.18299999999999,3.3744261520606664,90.012,2,21.8995,2,22.333333333333332,66,4655.0
5,2014,Catalunya,3,ROS,Mercedes,2,2,91.90592424242423,91.4735,3.5031339652927747,89.236,2,22.2815,2,22.333333333333332,66,4655.0
5,2014,Catalunya,4,MAG,McLaren,12,14,93.8172923076923,92.892,3.604410378806243,90.318,2,21.831,2,22.0,66,4655.0
5,2014,Catalunya,5,ALO,Ferrari,6,7,93.22572727272727,92.114,4.2396788541131265,89.898,3,21.882666666666665,2,16.75,66,4655.0
5,2014,Catalunya,6,VER,ToroRosso,22,21,95.81695833333333,94.644,4.761677102059248,91.781,1,22.976,2,12.5,66,4655.0
5,2014,Catalunya,7,HUL,ForceIndia,10,10,93.73816923076924,92.819,3.5545672273904843,91.411,2,22.5395,2,22.0,66,4655.0
5,2014,Catalunya,8,KVY,ToroRosso,14,12,93.95324615384615,92.923,4.461354418891369,90.269,3,22.842666666666663,2,16.5,66,4655.0
5,2014,Catalunya,9,MAS,Williams,13,9,93.82623076923078,92.817,4.305003058830327,90.468,3,22.525000000000002,2,16.5,66,4655.0
5,2014,Catalunya,10,BUT,McLaren,11,8,93.80718461538461,92.779,3.7996570564505707,90.563,2,23.109,2,22.0,66,4655.0
5,2014,Catalunya,11,RAI,Ferrari,7,6,93.36072307692308,92.441,3.7067501623208137,90.58,2,22.3915,2,22.0,66,4655.0
5,2014,Catalunya,12,VET,RedBull,4,15,93.05843939393941,92.4385,4.250065060601699,88.918,3,21.727,2,16.75,66,4655.0
5,2014,Catalunya,13,SUT,Sauber,17,16,94.43826153846153,93.391,4.275351934625246,91.473,2,25.695500000000003,2,22.0,66,4655.0
5,2014,Catalunya,14,KOB,Caterham,21,20,96.93467647058823,95.37049999999999,5.97206146186374,93.064,1,22.789,1,17.5,66,4655.0
5,2014,Catalunya,15,BOT,Williams,5,4,93.09769696969698,92.47749999999999,3.5731451044603744,90.424,2,22.762500000000003,2,22.333333333333332,66,4655.0
5,2014,Catalunya,16,PER,ForceIndia,9,11,93.57810769230771,92.667,3.464182177671398,90.756,2,22.3245,2,22.0,66,4655.0
5,2014,Catalunya,17,CHI,Marussia,19,17,95.7810625,94.3335,5.122259607643413,91.767,3,23.718333333333334,2,16.25,66,4655.0
5,2014,Catalunya,18,BIA,Marussia,18,18,95.145265625,94.14099999999999,4.144563186596204,91.784,2,22.748,2,21.666666666666668,66,4655.0
5,2014,Catalunya,19,ERI,Caterham,20,19,96.10696875000001,95.11,4.43949964279456,93.35,2,24.881,2,21.666666666666668,66,4655.0
5,2014,Catalunya,20,GUT,Sauber,16,13,94.39020000000001,93.403,4.475093582122055,90.666,3,23.622666666666664,2,16.5,66,4655.0
5,2014,Catalunya,21,MAL,LotusF1,15,22,94.07724615384615,92.853,4.119012897644476,91.235,2,24.9375,2,22.0,66,4655.0
5,2014,Catalunya,22,GRO,LotusF1,8,5,93.56121538461538,92.794,3.6111887131019076,91.068,2,22.102,2,22.0,66,4655.0
6,2014,MonteCarlo,1,HAM,Mercedes,2,2,84.31885897435895,80.5485,11.618275160587576,79.361,1,27.509,2,39.5,78,3337.0
